,Overlap,Name,Brier,RelTotTime,AvgCommVals,net,nr_clients
0,0.1,CC,0.04,0.98,0,andes,16
1,0.1,DOM,0.039,0.58,4,andes,16
2,0.1,CCBNet,0.035,0.68,445,andes,16
3,0.1,CCBNetJ,0.035,0.62,317,andes,16
4,0.1,CC,0.103,0.99,0,pigs,32
5,0.1,DOM,0.092,0.39,7,pigs,32
6,0.1,CCBNet,0.076,1.34,37838,pigs,32
7,0.1,CCBNetJ,0.076,0.51,4202,pigs,32
8,0.1,CC,0.144,0.95,0,link,64
9,0.1,DOM,0.125,0.25,6,link,64
10,0.1,CCBNet,0.126,0.39,4549,link,64
11,0.1,CCBNetJ,0.126,0.35,2402,link,64
12,0.1,CC,0.016,1.14,0,munin2,128
13,0.1,DOM,0.016,0.2,11,munin2,128
14,0.1,CCBNet,0.015,0.67,242788,munin2,128
15,0.1,CCBNetJ,0.015,0.41,88581,munin2,128
