,Overlap,Name,Brier,RelTotTime,AvgCommVals,net,nr_clients
0,0.1,CC,0.021,0.83,0,asia,2
1,0.1,CU,0.012,0.83,0,asia,2
2,0.1,DOM,0.012,1.18,4,asia,2
3,0.1,CCBNet,0.012,1.0,15,asia,2
4,0.1,CCBNetJ,0.012,0.92,11,asia,2
5,0.3,CC,0.011,1.1,0,asia,2
6,0.3,CU,0.006,0.98,0,asia,2
7,0.3,DOM,0.006,1.49,4,asia,2
8,0.3,CCBNet,0.006,1.24,16,asia,2
9,0.3,CCBNetJ,0.006,1.08,11,asia,2
10,0.1,CC,0.029,1.0,0,asia,4
11,0.1,CU,0.023,1.12,0,asia,4
12,0.1,DOM,0.023,1.73,8,asia,4
13,0.1,CCBNet,0.023,1.47,38,asia,4
14,0.1,CCBNetJ,0.023,1.19,16,asia,4
15,0.3,CC,0.015,0.99,0,asia,4
16,0.3,CU,0.012,0.99,0,asia,4
17,0.3,DOM,0.012,2.17,8,asia,4
18,0.3,CCBNet,0.012,1.64,39,asia,4
19,0.3,CCBNetJ,0.012,1.15,15,asia,4
20,0.1,CC,0.031,1.03,0,child,2
21,0.1,CU,0.023,1.03,0,child,2
22,0.1,DOM,0.021,1.23,6,child,2
23,0.1,CCBNet,0.023,1.13,146,child,2
24,0.1,CCBNetJ,0.023,1.06,97,child,2
25,0.3,CC,0.027,1.04,0,child,2
26,0.3,CU,0.018,1.03,0,child,2
27,0.3,DOM,0.02,1.36,7,child,2
28,0.3,CCBNet,0.018,1.33,254,child,2
29,0.3,CCBNetJ,0.018,1.08,153,child,2
30,0.1,CC,0.029,1.02,0,child,4
31,0.1,CU,0.031,1.02,0,child,4
32,0.1,DOM,0.047,1.37,12,child,4
33,0.1,CCBNet,0.031,1.34,202,child,4
34,0.1,CCBNetJ,0.031,1.07,80,child,4
35,0.3,CC,0.031,1.04,0,child,4
36,0.3,CU,0.038,1.04,0,child,4
37,0.3,DOM,0.052,1.94,14,child,4
38,0.3,CCBNet,0.038,1.82,600,child,4
39,0.3,CCBNetJ,0.038,1.12,190,child,4
40,0.1,CC,0.009,1.03,0,alarm,2
41,0.1,CU,0.011,1.03,0,alarm,2
42,0.1,DOM,0.013,1.13,5,alarm,2
43,0.1,CCBNet,0.011,1.06,304,alarm,2
44,0.1,CCBNetJ,0.011,0.98,189,alarm,2
45,0.3,CC,0.006,1.08,0,alarm,2
46,0.3,CU,0.005,1.11,0,alarm,2
47,0.3,DOM,0.008,1.31,6,alarm,2
48,0.3,CCBNet,0.005,1.29,691,alarm,2
49,0.3,CCBNetJ,0.005,1.07,423,alarm,2
50,0.1,CC,0.025,1.15,0,alarm,4
51,0.1,CU,0.022,1.15,0,alarm,4
52,0.1,DOM,0.043,1.27,11,alarm,4
53,0.1,CCBNet,0.022,1.69,2599,alarm,4
54,0.1,CCBNetJ,0.022,1.15,714,alarm,4
55,0.3,CC,0.029,1.23,0,alarm,4
56,0.3,CU,0.012,1.25,0,alarm,4
57,0.3,DOM,0.028,1.85,12,alarm,4
58,0.3,CCBNet,0.012,2.25,4861,alarm,4
59,0.3,CCBNetJ,0.012,1.29,1305,alarm,4
60,0.1,CC,0.05,1.05,0,insurance,2
61,0.1,CU,0.028,1.04,0,insurance,2
62,0.1,DOM,0.031,1.15,6,insurance,2
63,0.1,CCBNet,0.028,1.18,315,insurance,2
64,0.1,CCBNetJ,0.028,1.04,195,insurance,2
65,0.3,CC,0.039,1.09,0,insurance,2
66,0.3,CU,0.024,1.08,0,insurance,2
67,0.3,DOM,0.025,1.33,6,insurance,2
68,0.3,CCBNet,0.024,1.4,561,insurance,2
69,0.3,CCBNetJ,0.024,1.14,336,insurance,2
70,0.1,CC,0.072,1.19,0,insurance,4
71,0.1,CU,0.052,1.16,0,insurance,4
72,0.1,DOM,0.068,1.33,12,insurance,4
73,0.1,CCBNet,0.052,1.79,2464,insurance,4
74,0.1,CCBNetJ,0.052,1.21,686,insurance,4
75,0.3,CC,0.057,1.23,0,insurance,4
76,0.3,CU,0.047,1.26,0,insurance,4
77,0.3,DOM,0.061,1.91,12,insurance,4
78,0.3,CCBNet,0.047,2.3,3483,insurance,4
79,0.3,CCBNetJ,0.047,1.33,953,insurance,4
