,Overlap,Name,Brier,RelTotTime,AvgCommVals,net,nr_clients
0,0.1,CC,0.011,0.83,0,asia,2
1,0.1,CU,0.006,0.83,0,asia,2
2,0.1,DOM,0.022,1.29,4,asia,2
3,0.1,CCBNet,0.006,1.07,22,asia,2
4,0.1,CCBNetJ,0.006,0.93,16,asia,2
5,0.3,CC,0.011,1.12,0,asia,2
6,0.3,CU,0.006,0.99,0,asia,2
7,0.3,DOM,0.022,1.53,4,asia,2
8,0.3,CCBNet,0.006,1.26,22,asia,2
9,0.3,CCBNetJ,0.006,1.11,16,asia,2
10,0.5,CC,0.0,0.99,0,asia,2
11,0.5,CU,0.001,1.11,0,asia,2
12,0.5,DOM,0.015,1.61,4,asia,2
13,0.5,CCBNet,0.001,1.31,24,asia,2
14,0.5,CCBNetJ,0.001,1.1,16,asia,2
15,0.1,CC,0.005,0.96,0,asia,4
16,0.1,CU,0.015,0.96,0,asia,4
17,0.1,DOM,0.016,1.74,4,asia,4
18,0.1,CCBNet,0.015,1.27,17,asia,4
19,0.1,CCBNetJ,0.015,1.11,12,asia,4
20,0.3,CC,0.005,0.95,0,asia,4
21,0.3,CU,0.015,0.94,0,asia,4
22,0.3,DOM,0.016,1.58,4,asia,4
23,0.3,CCBNet,0.015,1.25,17,asia,4
24,0.3,CCBNetJ,0.015,1.23,12,asia,4
25,0.5,CC,0.013,0.96,0,asia,4
26,0.5,CU,0.017,0.95,0,asia,4
27,0.5,DOM,0.021,1.85,4,asia,4
28,0.5,CCBNet,0.017,1.42,23,asia,4
29,0.5,CCBNetJ,0.017,1.12,14,asia,4
30,0.1,CC,0.076,0.83,0,asia,8
31,0.1,CU,0.076,0.84,0,asia,8
32,0.1,DOM,0.076,1.56,4,asia,8
33,0.1,CCBNet,0.076,1.18,15,asia,8
34,0.1,CCBNetJ,0.076,1.04,11,asia,8
35,0.3,CC,0.076,1.05,0,asia,8
36,0.3,CU,0.076,0.93,0,asia,8
37,0.3,DOM,0.076,1.72,4,asia,8
38,0.3,CCBNet,0.076,1.29,15,asia,8
39,0.3,CCBNetJ,0.076,1.15,11,asia,8
40,0.5,CC,0.055,0.93,0,asia,8
41,0.5,CU,0.054,1.07,0,asia,8
42,0.5,DOM,0.054,2.01,4,asia,8
43,0.5,CCBNet,0.054,1.46,20,asia,8
44,0.5,CCBNetJ,0.054,1.17,12,asia,8
45,0.1,CC,0.002,0.99,0,child,2
46,0.1,CU,0.002,1.06,0,child,2
47,0.1,DOM,0.034,1.16,10,child,2
48,0.1,CCBNet,0.002,1.07,80,child,2
49,0.1,CCBNetJ,0.002,1.01,64,child,2
50,0.3,CC,0.001,0.99,0,child,2
51,0.3,CU,0.001,0.99,0,child,2
52,0.3,DOM,0.02,1.39,7,child,2
53,0.3,CCBNet,0.001,1.19,109,child,2
54,0.3,CCBNetJ,0.001,1.02,72,child,2
55,0.5,CC,0.001,1.0,0,child,2
56,0.5,CU,0.001,0.99,0,child,2
57,0.5,DOM,0.02,1.4,7,child,2
58,0.5,CCBNet,0.001,1.2,109,child,2
59,0.5,CCBNetJ,0.001,1.03,72,child,2
60,0.1,CC,0.08,0.97,0,child,4
61,0.1,CU,0.08,0.97,0,child,4
62,0.1,DOM,0.106,1.2,10,child,4
63,0.1,CCBNet,0.08,1.11,63,child,4
64,0.1,CCBNetJ,0.08,1.0,47,child,4
65,0.3,CC,0.033,0.98,0,child,4
66,0.3,CU,0.028,0.99,0,child,4
67,0.3,DOM,0.041,1.45,8,child,4
68,0.3,CCBNet,0.028,1.29,138,child,4
69,0.3,CCBNetJ,0.028,1.11,76,child,4
70,0.5,CC,0.012,0.98,0,child,4
71,0.5,CU,0.011,1.01,0,child,4
72,0.5,DOM,0.033,1.72,9,child,4
73,0.5,CCBNet,0.011,1.54,269,child,4
74,0.5,CCBNetJ,0.011,1.15,120,child,4
75,0.1,CC,0.165,0.94,0,child,8
76,0.1,CU,0.164,0.94,0,child,8
77,0.1,DOM,0.173,1.26,10,child,8
78,0.1,CCBNet,0.164,1.07,59,child,8
79,0.1,CCBNetJ,0.164,1.01,43,child,8
80,0.3,CC,0.071,0.93,0,child,8
81,0.3,CU,0.072,0.93,0,child,8
82,0.3,DOM,0.09,1.5,8,child,8
83,0.3,CCBNet,0.072,1.25,95,child,8
84,0.3,CCBNetJ,0.072,1.03,60,child,8
85,0.5,CC,0.044,0.95,0,child,8
86,0.5,CU,0.023,1.02,0,child,8
87,0.5,DOM,0.046,2.06,10,child,8
